passenger_id,arrival_us,origin_floor,destination_floor,segment_id
1,0,1,2,up_peak_fixed
2,1000000,1,3,up_peak_fixed
3,2000000,1,4,up_peak_fixed
4,3000000,1,5,up_peak_fixed
5,4000000,1,6,up_peak_fixed
6,5000000,1,7,up_peak_fixed
7,6000000,1,8,up_peak_fixed
8,7000000,1,9,up_peak_fixed
9,8000000,1,10,up_peak_fixed
10,9000000,1,11,up_peak_fixed
11,10000000,1,12,up_peak_fixed
12,11000000,1,13,up_peak_fixed
13,12000000,1,14,up_peak_fixed
14,13000000,1,15,up_peak_fixed
15,14000000,1,16,up_peak_fixed
16,15000000,1,17,up_peak_fixed
17,16000000,1,18,up_peak_fixed
18,17000000,1,19,up_peak_fixed
19,18000000,1,20,up_peak_fixed
20,19000000,1,21,up_peak_fixed
21,20000000,1,22,up_peak_fixed
22,21000000,1,23,up_peak_fixed
23,22000000,1,24,up_peak_fixed
24,23000000,1,25,up_peak_fixed
25,24000000,1,26,up_peak_fixed
26,25000000,1,27,up_peak_fixed
27,26000000,1,28,up_peak_fixed
28,27000000,1,29,up_peak_fixed
29,28000000,1,30,up_peak_fixed
30,29000000,1,2,up_peak_fixed
31,30000000,1,3,up_peak_fixed
32,31000000,1,4,up_peak_fixed
33,32000000,1,5,up_peak_fixed
34,33000000,1,6,up_peak_fixed
35,34000000,1,7,up_peak_fixed
36,35000000,1,8,up_peak_fixed
37,36000000,1,9,up_peak_fixed
38,37000000,1,10,up_peak_fixed
39,38000000,1,11,up_peak_fixed
40,39000000,1,12,up_peak_fixed
41,40000000,1,13,up_peak_fixed
42,41000000,1,14,up_peak_fixed
43,42000000,1,15,up_peak_fixed
44,43000000,1,16,up_peak_fixed
45,44000000,1,17,up_peak_fixed
46,45000000,1,18,up_peak_fixed
47,46000000,1,19,up_peak_fixed
48,47000000,1,20,up_peak_fixed
49,48000000,1,21,up_peak_fixed
50,49000000,1,22,up_peak_fixed
51,50000000,1,23,up_peak_fixed
52,51000000,1,24,up_peak_fixed
53,52000000,1,25,up_peak_fixed
54,53000000,1,26,up_peak_fixed
55,54000000,1,27,up_peak_fixed
56,55000000,1,28,up_peak_fixed
57,56000000,1,29,up_peak_fixed
58,57000000,1,30,up_peak_fixed
59,58000000,1,2,up_peak_fixed
60,59000000,1,3,up_peak_fixed
61,60000000,1,4,up_peak_fixed
62,61000000,1,5,up_peak_fixed
63,62000000,1,6,up_peak_fixed
64,63000000,1,7,up_peak_fixed
65,64000000,1,8,up_peak_fixed
66,65000000,1,9,up_peak_fixed
67,66000000,1,10,up_peak_fixed
68,67000000,1,11,up_peak_fixed
69,68000000,1,12,up_peak_fixed
70,69000000,1,13,up_peak_fixed
71,70000000,1,14,up_peak_fixed
72,71000000,1,15,up_peak_fixed
73,72000000,1,16,up_peak_fixed
74,73000000,1,17,up_peak_fixed
75,74000000,1,18,up_peak_fixed
76,75000000,1,19,up_peak_fixed
77,76000000,1,20,up_peak_fixed
78,77000000,1,21,up_peak_fixed
79,78000000,1,22,up_peak_fixed
80,79000000,1,23,up_peak_fixed
81,80000000,1,24,up_peak_fixed
82,81000000,1,25,up_peak_fixed
83,82000000,1,26,up_peak_fixed
84,83000000,1,27,up_peak_fixed
85,84000000,1,28,up_peak_fixed
86,85000000,1,29,up_peak_fixed
87,86000000,1,30,up_peak_fixed
88,87000000,1,2,up_peak_fixed
89,88000000,1,3,up_peak_fixed
90,89000000,1,4,up_peak_fixed
91,90000000,1,5,up_peak_fixed
92,91000000,1,6,up_peak_fixed
93,92000000,1,7,up_peak_fixed
94,93000000,1,8,up_peak_fixed
95,94000000,1,9,up_peak_fixed
96,95000000,1,10,up_peak_fixed
97,96000000,1,11,up_peak_fixed
98,97000000,1,12,up_peak_fixed
99,98000000,1,13,up_peak_fixed
100,99000000,1,14,up_peak_fixed
101,100000000,1,15,up_peak_fixed
102,101000000,1,16,up_peak_fixed
103,102000000,1,17,up_peak_fixed
104,103000000,1,18,up_peak_fixed
105,104000000,1,19,up_peak_fixed
106,105000000,1,20,up_peak_fixed
107,106000000,1,21,up_peak_fixed
108,107000000,1,22,up_peak_fixed
109,108000000,1,23,up_peak_fixed
110,109000000,1,24,up_peak_fixed
111,110000000,1,25,up_peak_fixed
112,111000000,1,26,up_peak_fixed
113,112000000,1,27,up_peak_fixed
114,113000000,1,28,up_peak_fixed
115,114000000,1,29,up_peak_fixed
116,115000000,1,30,up_peak_fixed
117,116000000,1,2,up_peak_fixed
118,117000000,1,3,up_peak_fixed
119,118000000,1,4,up_peak_fixed
120,119000000,1,5,up_peak_fixed
121,120000000,1,6,up_peak_fixed
122,121000000,1,7,up_peak_fixed
123,122000000,1,8,up_peak_fixed
124,123000000,1,9,up_peak_fixed
125,124000000,1,10,up_peak_fixed
126,125000000,1,11,up_peak_fixed
127,126000000,1,12,up_peak_fixed
128,127000000,1,13,up_peak_fixed
129,128000000,1,14,up_peak_fixed
130,129000000,1,15,up_peak_fixed
131,130000000,1,16,up_peak_fixed
132,131000000,1,17,up_peak_fixed
133,132000000,1,18,up_peak_fixed
134,133000000,1,19,up_peak_fixed
135,134000000,1,20,up_peak_fixed
136,135000000,1,21,up_peak_fixed
137,136000000,1,22,up_peak_fixed
138,137000000,1,23,up_peak_fixed
139,138000000,1,24,up_peak_fixed
140,139000000,1,25,up_peak_fixed
141,140000000,1,26,up_peak_fixed
142,141000000,1,27,up_peak_fixed
143,142000000,1,28,up_peak_fixed
144,143000000,1,29,up_peak_fixed
145,144000000,1,30,up_peak_fixed
146,145000000,1,2,up_peak_fixed
147,146000000,1,3,up_peak_fixed
148,147000000,1,4,up_peak_fixed
149,148000000,1,5,up_peak_fixed
150,149000000,1,6,up_peak_fixed
151,150000000,1,7,up_peak_fixed
152,151000000,1,8,up_peak_fixed
153,152000000,1,9,up_peak_fixed
154,153000000,1,10,up_peak_fixed
155,154000000,1,11,up_peak_fixed
156,155000000,1,12,up_peak_fixed
157,156000000,1,13,up_peak_fixed
158,157000000,1,14,up_peak_fixed
159,158000000,1,15,up_peak_fixed
160,159000000,1,16,up_peak_fixed
161,160000000,1,17,up_peak_fixed
162,161000000,1,18,up_peak_fixed
163,162000000,1,19,up_peak_fixed
