passenger_id,arrival_us,origin_floor,destination_floor,segment_id
1,0,2,1,down_peak_fixed
2,1000000,3,1,down_peak_fixed
3,2000000,4,1,down_peak_fixed
4,3000000,5,1,down_peak_fixed
5,4000000,6,1,down_peak_fixed
6,5000000,7,1,down_peak_fixed
7,6000000,8,1,down_peak_fixed
8,7000000,9,1,down_peak_fixed
9,8000000,10,1,down_peak_fixed
10,9000000,11,1,down_peak_fixed
11,10000000,12,1,down_peak_fixed
12,11000000,13,1,down_peak_fixed
13,12000000,14,1,down_peak_fixed
14,13000000,15,1,down_peak_fixed
15,14000000,16,1,down_peak_fixed
16,15000000,17,1,down_peak_fixed
17,16000000,18,1,down_peak_fixed
18,17000000,19,1,down_peak_fixed
19,18000000,20,1,down_peak_fixed
20,19000000,21,1,down_peak_fixed
21,20000000,22,1,down_peak_fixed
22,21000000,23,1,down_peak_fixed
23,22000000,24,1,down_peak_fixed
24,23000000,25,1,down_peak_fixed
25,24000000,26,1,down_peak_fixed
26,25000000,27,1,down_peak_fixed
27,26000000,28,1,down_peak_fixed
28,27000000,29,1,down_peak_fixed
29,28000000,30,1,down_peak_fixed
30,29000000,2,1,down_peak_fixed
31,30000000,3,1,down_peak_fixed
32,31000000,4,1,down_peak_fixed
33,32000000,5,1,down_peak_fixed
34,33000000,6,1,down_peak_fixed
35,34000000,7,1,down_peak_fixed
36,35000000,8,1,down_peak_fixed
37,36000000,9,1,down_peak_fixed
38,37000000,10,1,down_peak_fixed
39,38000000,11,1,down_peak_fixed
40,39000000,12,1,down_peak_fixed
41,40000000,13,1,down_peak_fixed
42,41000000,14,1,down_peak_fixed
43,42000000,15,1,down_peak_fixed
44,43000000,16,1,down_peak_fixed
45,44000000,17,1,down_peak_fixed
46,45000000,18,1,down_peak_fixed
47,46000000,19,1,down_peak_fixed
48,47000000,20,1,down_peak_fixed
49,48000000,21,1,down_peak_fixed
50,49000000,22,1,down_peak_fixed
51,50000000,23,1,down_peak_fixed
52,51000000,24,1,down_peak_fixed
53,52000000,25,1,down_peak_fixed
54,53000000,26,1,down_peak_fixed
55,54000000,27,1,down_peak_fixed
56,55000000,28,1,down_peak_fixed
57,56000000,29,1,down_peak_fixed
58,57000000,30,1,down_peak_fixed
59,58000000,2,1,down_peak_fixed
60,59000000,3,1,down_peak_fixed
61,60000000,4,1,down_peak_fixed
62,61000000,5,1,down_peak_fixed
63,62000000,6,1,down_peak_fixed
64,63000000,7,1,down_peak_fixed
65,64000000,8,1,down_peak_fixed
66,65000000,9,1,down_peak_fixed
67,66000000,10,1,down_peak_fixed
68,67000000,11,1,down_peak_fixed
69,68000000,12,1,down_peak_fixed
70,69000000,13,1,down_peak_fixed
71,70000000,14,1,down_peak_fixed
