passenger_id,arrival_us,origin_floor,destination_floor,segment_id
1,0,2,7,interfloor_fixed
2,1000000,3,14,interfloor_fixed
3,2000000,4,21,interfloor_fixed
4,3000000,5,28,interfloor_fixed
5,4000000,6,7,interfloor_fixed
6,5000000,7,13,interfloor_fixed
7,6000000,8,20,interfloor_fixed
8,7000000,9,27,interfloor_fixed
9,8000000,10,5,interfloor_fixed
10,9000000,11,12,interfloor_fixed
11,10000000,12,19,interfloor_fixed
12,11000000,13,26,interfloor_fixed
13,12000000,14,4,interfloor_fixed
14,13000000,15,11,interfloor_fixed
15,14000000,16,18,interfloor_fixed
16,15000000,17,25,interfloor_fixed
17,16000000,18,3,interfloor_fixed
18,17000000,19,10,interfloor_fixed
19,18000000,20,17,interfloor_fixed
20,19000000,21,24,interfloor_fixed
21,20000000,22,2,interfloor_fixed
22,21000000,23,9,interfloor_fixed
23,22000000,24,16,interfloor_fixed
24,23000000,25,23,interfloor_fixed
25,24000000,26,30,interfloor_fixed
26,25000000,27,8,interfloor_fixed
27,26000000,28,15,interfloor_fixed
28,27000000,29,22,interfloor_fixed
29,28000000,30,29,interfloor_fixed
30,29000000,2,7,interfloor_fixed
31,30000000,3,14,interfloor_fixed
32,31000000,4,21,interfloor_fixed
33,32000000,5,28,interfloor_fixed
34,33000000,6,7,interfloor_fixed
35,34000000,7,13,interfloor_fixed
36,35000000,8,20,interfloor_fixed
37,36000000,9,27,interfloor_fixed
38,37000000,10,5,interfloor_fixed
39,38000000,11,12,interfloor_fixed
40,39000000,12,19,interfloor_fixed
41,40000000,13,26,interfloor_fixed
42,41000000,14,4,interfloor_fixed
43,42000000,15,11,interfloor_fixed
44,43000000,16,18,interfloor_fixed
45,44000000,17,25,interfloor_fixed
46,45000000,18,3,interfloor_fixed
47,46000000,19,10,interfloor_fixed
48,47000000,20,17,interfloor_fixed
49,48000000,21,24,interfloor_fixed
50,49000000,22,2,interfloor_fixed
51,50000000,23,9,interfloor_fixed
52,51000000,24,16,interfloor_fixed
53,52000000,25,23,interfloor_fixed
54,53000000,26,30,interfloor_fixed
55,54000000,27,8,interfloor_fixed
56,55000000,28,15,interfloor_fixed
57,56000000,29,22,interfloor_fixed
58,57000000,30,29,interfloor_fixed
59,58000000,2,7,interfloor_fixed
60,59000000,3,14,interfloor_fixed
61,60000000,4,21,interfloor_fixed
62,61000000,5,28,interfloor_fixed
63,62000000,6,7,interfloor_fixed
64,63000000,7,13,interfloor_fixed
65,64000000,8,20,interfloor_fixed
66,65000000,9,27,interfloor_fixed
67,66000000,10,5,interfloor_fixed
68,67000000,11,12,interfloor_fixed
69,68000000,12,19,interfloor_fixed
70,69000000,13,26,interfloor_fixed
71,70000000,14,4,interfloor_fixed
72,71000000,15,11,interfloor_fixed
73,72000000,16,18,interfloor_fixed
74,73000000,17,25,interfloor_fixed
75,74000000,18,3,interfloor_fixed
76,75000000,19,10,interfloor_fixed
77,76000000,20,17,interfloor_fixed
78,77000000,21,24,interfloor_fixed
79,78000000,22,2,interfloor_fixed
80,79000000,23,9,interfloor_fixed
81,80000000,24,16,interfloor_fixed
82,81000000,25,23,interfloor_fixed
83,82000000,26,30,interfloor_fixed
84,83000000,27,8,interfloor_fixed
85,84000000,28,15,interfloor_fixed
86,85000000,29,22,interfloor_fixed
87,86000000,30,29,interfloor_fixed
88,87000000,2,7,interfloor_fixed
89,88000000,3,14,interfloor_fixed
90,89000000,4,21,interfloor_fixed
91,90000000,5,28,interfloor_fixed
92,91000000,6,7,interfloor_fixed
93,92000000,7,13,interfloor_fixed
94,93000000,8,20,interfloor_fixed
95,94000000,9,27,interfloor_fixed
96,95000000,10,5,interfloor_fixed
97,96000000,11,12,interfloor_fixed
98,97000000,12,19,interfloor_fixed
99,98000000,13,26,interfloor_fixed
100,99000000,14,4,interfloor_fixed
101,100000000,15,11,interfloor_fixed
102,101000000,16,18,interfloor_fixed
103,102000000,17,25,interfloor_fixed
104,103000000,18,3,interfloor_fixed
105,104000000,19,10,interfloor_fixed
106,105000000,20,17,interfloor_fixed
107,106000000,21,24,interfloor_fixed
108,107000000,22,2,interfloor_fixed
109,108000000,23,9,interfloor_fixed
110,109000000,24,16,interfloor_fixed
111,110000000,25,23,interfloor_fixed
112,111000000,26,30,interfloor_fixed
113,112000000,27,8,interfloor_fixed
114,113000000,28,15,interfloor_fixed
115,114000000,29,22,interfloor_fixed
116,115000000,30,29,interfloor_fixed
117,116000000,2,7,interfloor_fixed
118,117000000,3,14,interfloor_fixed
119,118000000,4,21,interfloor_fixed
120,119000000,5,28,interfloor_fixed
121,120000000,6,7,interfloor_fixed
122,121000000,7,13,interfloor_fixed
123,122000000,8,20,interfloor_fixed
124,123000000,9,27,interfloor_fixed
125,124000000,10,5,interfloor_fixed
126,125000000,11,12,interfloor_fixed
127,126000000,12,19,interfloor_fixed
128,127000000,13,26,interfloor_fixed
129,128000000,14,4,interfloor_fixed
130,129000000,15,11,interfloor_fixed
131,130000000,16,18,interfloor_fixed
132,131000000,17,25,interfloor_fixed
133,132000000,18,3,interfloor_fixed
134,133000000,19,10,interfloor_fixed
135,134000000,20,17,interfloor_fixed
136,135000000,21,24,interfloor_fixed
137,136000000,22,2,interfloor_fixed
138,137000000,23,9,interfloor_fixed
139,138000000,24,16,interfloor_fixed
140,139000000,25,23,interfloor_fixed
141,140000000,26,30,interfloor_fixed
142,141000000,27,8,interfloor_fixed
143,142000000,28,15,interfloor_fixed
144,143000000,29,22,interfloor_fixed
145,144000000,30,29,interfloor_fixed
146,145000000,2,7,interfloor_fixed
147,146000000,3,14,interfloor_fixed
148,147000000,4,21,interfloor_fixed
149,148000000,5,28,interfloor_fixed
150,149000000,6,7,interfloor_fixed
151,150000000,7,13,interfloor_fixed
152,151000000,8,20,interfloor_fixed
153,152000000,9,27,interfloor_fixed
154,153000000,10,5,interfloor_fixed
155,154000000,11,12,interfloor_fixed
156,155000000,12,19,interfloor_fixed
157,156000000,13,26,interfloor_fixed
158,157000000,14,4,interfloor_fixed
159,158000000,15,11,interfloor_fixed
160,159000000,16,18,interfloor_fixed
161,160000000,17,25,interfloor_fixed
162,161000000,18,3,interfloor_fixed
163,162000000,19,10,interfloor_fixed
164,163000000,20,17,interfloor_fixed
165,164000000,21,24,interfloor_fixed
166,165000000,22,2,interfloor_fixed
167,166000000,23,9,interfloor_fixed
168,167000000,24,16,interfloor_fixed
169,168000000,25,23,interfloor_fixed
170,169000000,26,30,interfloor_fixed
171,170000000,27,8,interfloor_fixed
172,171000000,28,15,interfloor_fixed
173,172000000,29,22,interfloor_fixed
174,173000000,30,29,interfloor_fixed
175,174000000,2,7,interfloor_fixed
176,175000000,3,14,interfloor_fixed
177,176000000,4,21,interfloor_fixed
178,177000000,5,28,interfloor_fixed
179,178000000,6,7,interfloor_fixed
180,179000000,7,13,interfloor_fixed
181,180000000,8,20,interfloor_fixed
182,181000000,9,27,interfloor_fixed
183,182000000,10,5,interfloor_fixed
184,183000000,11,12,interfloor_fixed
185,184000000,12,19,interfloor_fixed
186,185000000,13,26,interfloor_fixed
187,186000000,14,4,interfloor_fixed
188,187000000,15,11,interfloor_fixed
189,188000000,16,18,interfloor_fixed
190,189000000,17,25,interfloor_fixed
191,190000000,18,3,interfloor_fixed
192,191000000,19,10,interfloor_fixed
193,192000000,20,17,interfloor_fixed
194,193000000,21,24,interfloor_fixed
195,194000000,22,2,interfloor_fixed
196,195000000,23,9,interfloor_fixed
197,196000000,24,16,interfloor_fixed
198,197000000,25,23,interfloor_fixed
199,198000000,26,30,interfloor_fixed
200,199000000,27,8,interfloor_fixed
201,200000000,28,15,interfloor_fixed
202,201000000,29,22,interfloor_fixed
203,202000000,30,29,interfloor_fixed
204,203000000,2,7,interfloor_fixed
205,204000000,3,14,interfloor_fixed
206,205000000,4,21,interfloor_fixed
207,206000000,5,28,interfloor_fixed
208,207000000,6,7,interfloor_fixed
209,208000000,7,13,interfloor_fixed
210,209000000,8,20,interfloor_fixed
211,210000000,9,27,interfloor_fixed
212,211000000,10,5,interfloor_fixed
213,212000000,11,12,interfloor_fixed
214,213000000,12,19,interfloor_fixed
215,214000000,13,26,interfloor_fixed
216,215000000,14,4,interfloor_fixed
217,216000000,15,11,interfloor_fixed
218,217000000,16,18,interfloor_fixed
219,218000000,17,25,interfloor_fixed
220,219000000,18,3,interfloor_fixed
221,220000000,19,10,interfloor_fixed
222,221000000,20,17,interfloor_fixed
223,222000000,21,24,interfloor_fixed
224,223000000,22,2,interfloor_fixed
225,224000000,23,9,interfloor_fixed
226,225000000,24,16,interfloor_fixed
227,226000000,25,23,interfloor_fixed
228,227000000,26,30,interfloor_fixed
229,228000000,27,8,interfloor_fixed
230,229000000,28,15,interfloor_fixed
231,230000000,29,22,interfloor_fixed
232,231000000,30,29,interfloor_fixed
233,232000000,2,7,interfloor_fixed
234,233000000,3,14,interfloor_fixed
235,234000000,4,21,interfloor_fixed
236,235000000,5,28,interfloor_fixed
237,236000000,6,7,interfloor_fixed
238,237000000,7,13,interfloor_fixed
239,238000000,8,20,interfloor_fixed
240,239000000,9,27,interfloor_fixed
241,240000000,10,5,interfloor_fixed
242,241000000,11,12,interfloor_fixed
243,242000000,12,19,interfloor_fixed
244,243000000,13,26,interfloor_fixed
245,244000000,14,4,interfloor_fixed
246,245000000,15,11,interfloor_fixed
247,246000000,16,18,interfloor_fixed
248,247000000,17,25,interfloor_fixed
249,248000000,18,3,interfloor_fixed
250,249000000,19,10,interfloor_fixed
251,250000000,20,17,interfloor_fixed
252,251000000,21,24,interfloor_fixed
253,252000000,22,2,interfloor_fixed
254,253000000,23,9,interfloor_fixed
255,254000000,24,16,interfloor_fixed
256,255000000,25,23,interfloor_fixed
257,256000000,26,30,interfloor_fixed
258,257000000,27,8,interfloor_fixed
259,258000000,28,15,interfloor_fixed
260,259000000,29,22,interfloor_fixed
261,260000000,30,29,interfloor_fixed
262,261000000,2,7,interfloor_fixed
263,262000000,3,14,interfloor_fixed
264,263000000,4,21,interfloor_fixed
265,264000000,5,28,interfloor_fixed
266,265000000,6,7,interfloor_fixed
267,266000000,7,13,interfloor_fixed
268,267000000,8,20,interfloor_fixed
269,268000000,9,27,interfloor_fixed
270,269000000,10,5,interfloor_fixed
271,270000000,11,12,interfloor_fixed
272,271000000,12,19,interfloor_fixed
273,272000000,13,26,interfloor_fixed
274,273000000,14,4,interfloor_fixed
275,274000000,15,11,interfloor_fixed
276,275000000,16,18,interfloor_fixed
277,276000000,17,25,interfloor_fixed
278,277000000,18,3,interfloor_fixed
279,278000000,19,10,interfloor_fixed
280,279000000,20,17,interfloor_fixed
281,280000000,21,24,interfloor_fixed
282,281000000,22,2,interfloor_fixed
283,282000000,23,9,interfloor_fixed
284,283000000,24,16,interfloor_fixed
285,284000000,25,23,interfloor_fixed
286,285000000,26,30,interfloor_fixed
287,286000000,27,8,interfloor_fixed
288,287000000,28,15,interfloor_fixed
289,288000000,29,22,interfloor_fixed
290,289000000,30,29,interfloor_fixed
291,290000000,2,7,interfloor_fixed
292,291000000,3,14,interfloor_fixed
293,292000000,4,21,interfloor_fixed
294,293000000,5,28,interfloor_fixed
295,294000000,6,7,interfloor_fixed
296,295000000,7,13,interfloor_fixed
297,296000000,8,20,interfloor_fixed
298,297000000,9,27,interfloor_fixed
299,298000000,10,5,interfloor_fixed
300,299000000,11,12,interfloor_fixed
