passenger_id,arrival_us,origin_floor,destination_floor,segment_id
1,0,1,2,morning_up
2,0,1,3,morning_up
3,500000,1,4,morning_up
4,500000,1,5,morning_up
5,1000000,1,6,morning_up
6,1000000,1,7,morning_up
7,1500000,1,8,morning_up
8,2000000,1,9,morning_up
9,2000000,1,10,morning_up
10,2500000,1,11,morning_up
11,2500000,1,12,morning_up
12,3000000,1,13,morning_up
13,3000000,1,14,morning_up
14,3500000,1,15,morning_up
15,4000000,1,16,morning_up
16,4000000,1,17,morning_up
17,4500000,1,18,morning_up
18,4500000,1,19,morning_up
19,5000000,1,20,morning_up
20,5000000,1,21,morning_up
21,5500000,1,22,morning_up
22,6000000,1,23,morning_up
23,6000000,1,24,morning_up
24,6500000,1,25,morning_up
25,6500000,1,26,morning_up
26,7000000,1,27,morning_up
27,7000000,1,28,morning_up
28,7500000,1,29,morning_up
29,8000000,1,30,morning_up
30,8000000,1,31,morning_up
31,8500000,1,32,morning_up
32,8500000,1,33,morning_up
33,9000000,1,34,morning_up
34,9500000,1,35,morning_up
35,9500000,1,36,morning_up
36,10000000,1,37,morning_up
37,10000000,1,38,morning_up
38,10500000,1,39,morning_up
39,10500000,1,40,morning_up
40,11000000,1,41,morning_up
41,11500000,1,42,morning_up
42,11500000,1,43,morning_up
43,12000000,1,44,morning_up
44,12000000,1,45,morning_up
45,12500000,1,46,morning_up
46,12500000,1,47,morning_up
47,13000000,1,48,morning_up
48,13500000,1,49,morning_up
49,13500000,1,50,morning_up
50,14000000,1,51,morning_up
51,14000000,1,52,morning_up
52,14500000,1,53,morning_up
53,14500000,1,54,morning_up
54,15000000,1,55,morning_up
55,15500000,1,56,morning_up
56,15500000,1,57,morning_up
57,16000000,1,58,morning_up
58,16000000,1,59,morning_up
59,16500000,1,60,morning_up
60,16500000,1,61,morning_up
61,17000000,1,62,morning_up
62,17500000,1,63,morning_up
63,17500000,1,64,morning_up
64,18000000,1,65,morning_up
65,18000000,1,66,morning_up
66,18500000,1,67,morning_up
67,19000000,1,68,morning_up
68,19000000,1,69,morning_up
69,19500000,1,70,morning_up
70,19500000,1,71,morning_up
71,20000000,1,72,morning_up
72,20000000,1,73,morning_up
73,20500000,1,74,morning_up
74,21000000,1,75,morning_up
75,21000000,1,76,morning_up
76,21500000,1,77,morning_up
77,21500000,1,78,morning_up
